ID,F1,F5,F2,F6,F4,F3
228,26,28,57,20,19,19
229,37,35,54,19,18,24
230,38,33,56,20,22,23
231,40,29,58,22,22,19
232,40,34,59,24,22,24
233,32,32,49,22,18,22
234,30,28,50,19,16,14
235,37,29,47,15,17,23
236,27,31,46,12,15,21
237,39,35,54,19,17,24
238,35,27,55,17,17,19
239,32,30,48,18,20,24
240,40,33,60,21,21,24
241,33,24,51,18,20,17
242,32,23,48,17,16,23
243,25,25,42,17,15,21
244,40,28,60,22,23,23
245,31,36,54,23,17,22
246,29,26,52,18,21,23
247,37,31,50,20,18,22
248,27,26,48,16,18,19
249,33,33,53,21,16,23
250,29,23,48,15,18,21
251,37,28,50,19,21,20
252,32,33,46,18,14,15
253,36,30,50,23,21,22
254,37,30,56,18,24,24
255,36,32,56,20,20,24
256,31,30,48,19,14,20
257,30,26,53,19,17,13
258,28,26,49,15,18,18
259,32,27,51,18,22,13
260,32,34,50,22,18,22
261,31,28,48,15,19,24
262,30,33,47,19,23,20
263,38,31,50,21,19,20
264,33,33,53,17,21,16
